t,o,c,h,l,v
2011-08-23,1.462,1.5306666666666666,1.5406666666666666,1.4333333333333333,869000.0
2011-08-24,1.54,1.5913333333333335,1.5953333333333333,1.5219999999999998,684300.0
2011-08-25,1.5913333333333335,1.5406666666666666,1.5913333333333335,1.5266666666666666,679800.0
2011-08-26,1.514,1.582,1.5966666666666667,1.4713333333333334,761800.0
2011-08-29,1.6146666666666665,1.6473333333333333,1.6566666666666667,1.6013333333333333,803400.0
2011-08-30,1.6333333333333333,1.642,1.6513333333333333,1.6059999999999999,366200.0
2011-08-31,1.6533333333333333,1.6493333333333333,1.7,1.6186666666666667,823800.0
2011-09-01,1.644,1.6,1.6580000000000001,1.589,848100.0
2011-09-02,1.5773333333333333,1.538,1.5993333333333333,1.512,769900.0
2011-09-06,1.5,1.5293333333333334,1.5466666666666666,1.486,809800.0
2011-09-07,1.5593333333333335,1.5893333333333333,1.6,1.552,459200.0
2011-09-08,1.5719999999999998,1.574,1.602,1.552,505700.0
2011-09-09,1.558,1.5313333333333332,1.5713333333333332,1.5033333333333334,669300.0
2011-09-12,1.5156666666666667,1.5253333333333332,1.5539999999999998,1.4966666666666666,566600.0
2011-09-13,1.534,1.6053333333333333,1.6066666666666667,1.5166666666666666,726500.0
2011-09-14,1.6166666666666667,1.6226666666666667,1.656,1.5859999999999999,830800.0
2011-09-15,1.6386666666666665,1.6546666666666667,1.662,1.6219999999999999,562600.0
2011-09-16,1.6520000000000001,1.72,1.7226666666666666,1.6326666666666665,1417100.0
2011-09-19,1.6633333333333333,1.718,1.7206666666666666,1.588,1157400.0
2011-09-20,1.732,1.7340000000000002,1.7733333333333334,1.7113333333333334,1180400.0
2011-09-21,1.73,1.7233333333333334,1.7966666666666666,1.7133333333333332,987600.0
2011-09-22,1.7093333333333334,1.7086666666666666,1.7406666666666666,1.6586666666666665,775800.0
2011-09-23,1.6993333333333331,1.7586666666666666,1.7746666666666666,1.6900000000000002,1156400.0
2011-09-26,1.768,1.7013333333333334,1.768,1.66,934800.0
2011-09-27,1.7333333333333334,1.746,1.7993333333333332,1.7046666666666666,674500.0
2011-09-28,1.7333333333333334,1.6393333333333333,1.7666666666666666,1.6340000000000001,723300.0
2011-09-29,1.7146666666666666,1.608,1.7213333333333334,1.57,929600.0
2011-09-30,1.6533333333333333,1.6260000000000001,1.6593333333333333,1.5659999999999998,1336100.0
2011-10-03,1.6633333333333333,1.582,1.6666666666666667,1.55,1023200.0
